ano,idprov,province,inmigrations,emigrations,net_migration
1997,41,Sevilla,8736,10866,-2130
1997,42,Soria,1062,1023,39
1997,43,Tarragona,8849,5479,3370
1997,44,Teruel,1559,1637,-78
1997,45,Toledo,7510,5402,2108
1997,46,Valencia,10671,10493,178
1997,47,Valladolid,3991,4281,-290
1997,48,Vizcaya,6401,10096,-3695
1997,49,Zamora,1834,2086,-252
1997,50,Zaragoza,5168,5260,-92
1997,51,Ceuta,1284,1486,-202
1997,52,Melilla,1592,1808,-216
1998,01,Álava,3592,3508,84
1998,02,Albacete,3484,3764,-280
1998,03,Alicante,16967,10301,6666
1998,04,Almería,5869,4930,939
1998,05,Ávila,2100,2595,-495
1998,06,Badajoz,5351,6613,-1262
1998,07,Baleares,17425,7446,9979
1998,08,Barcelona,24562,34748,-10186
1998,09,Burgos,4094,4471,-377
1998,10,Cáceres,4403,5169,-766
1998,11,Cádiz,8753,12271,-3518
1998,12,Castellón,5368,3676,1692
1998,13,Ciudad Real,3737,5065,-1328
1998,14,Córdoba,4948,7658,-2710
1998,15,A Coruña,7154,8141,-987
1998,16,Cuenca,2528,2777,-249
1998,17,Girona,8912,6299,2613
1998,18,Granada,7656,9216,-1560
1998,19,Guadalajara,5334,2517,2817
1998,20,Guipúzcoa,4611,5437,-826
1998,21,Huelva,3186,3233,-47
1998,22,Huesca,2570,2243,327
1998,23,Jaén,5080,6737,-1657
1998,24,León,4341,5577,-1236
1998,25,Lleida,4305,3787,518
1998,26,La Rioja,3430,2857,573
1998,27,Lugo,2747,2853,-106
1998,28,Madrid,39798,47222,-7424
1998,29,Málaga,12101,8370,3731
1998,30,Murcia,10166,8233,1933
1998,31,Navarra,5166,3907,1259
1998,32,Ourense,2776,3622,-846
1998,33,Asturias,5197,7502,-2305
1998,34,Palencia,1802,2395,-593
1998,35,Las Palmas,14901,8444,6457
1998,36,Pontevedra,5447,7082,-1635
1998,37,Salamanca,3495,3969,-474
1998,38,Santa Cruz de Tenerife,8529,6041,2488
1998,39,Cantabria,5985,4710,1275
1998,40,Segovia,1895,1853,42
1998,41,Sevilla,10076,12760,-2684
1998,42,Soria,1306,1217,89
1998,43,Tarragona,10325,6166,4159
1998,44,Teruel,2002,1906,96
1998,45,Toledo,7829,6579,1250
1998,46,Valencia,12338,12332,6
1998,47,Valladolid,3833,5063,-1230
1998,48,Vizcaya,7487,11336,-3849
1998,49,Zamora,2137,2471,-334
1998,50,Zaragoza,5604,6513,-909
1998,51,Ceuta,2114,1695,419
1998,52,Melilla,2409,1948,461
1999,01,Álava,3553,3727,-174
1999,02,Albacete,3959,4187,-228
