ano,provbaja,origin_province,provalta,destination_province,migration
1988,13,Ciudad Real,40,Segovia,25
1988,13,Ciudad Real,41,Sevilla,103
1988,13,Ciudad Real,42,Soria,4
1988,13,Ciudad Real,43,Tarragona,96
1988,13,Ciudad Real,44,Teruel,10
1988,13,Ciudad Real,45,Toledo,195
1988,13,Ciudad Real,46,Valencia,287
1988,13,Ciudad Real,47,Valladolid,7
1988,13,Ciudad Real,48,Vizcaya,39
1988,13,Ciudad Real,50,Zaragoza,58
1988,13,Ciudad Real,51,Ceuta,13
1988,13,Ciudad Real,52,Melilla,15
1988,14,Córdoba,01,Álava,22
1988,14,Córdoba,02,Albacete,13
1988,14,Córdoba,03,Alicante,196
1988,14,Córdoba,04,Almería,97
1988,14,Córdoba,05,Ávila,8
1988,14,Córdoba,06,Badajoz,88
1988,14,Córdoba,07,Baleares,702
1988,14,Córdoba,08,Barcelona,884
1988,14,Córdoba,09,Burgos,17
1988,14,Córdoba,10,Cáceres,35
1988,14,Córdoba,11,Cádiz,234
1988,14,Córdoba,12,Castellón,86
1988,14,Córdoba,13,Ciudad Real,92
1988,14,Córdoba,15,A Coruña,14
1988,14,Córdoba,16,Cuenca,6
1988,14,Córdoba,17,Girona,301
1988,14,Córdoba,18,Granada,391
1988,14,Córdoba,19,Guadalajara,25
1988,14,Córdoba,20,Guipúzcoa,18
1988,14,Córdoba,21,Huelva,133
1988,14,Córdoba,22,Huesca,6
1988,14,Córdoba,23,Jaén,342
1988,14,Córdoba,24,León,16
1988,14,Córdoba,25,Lleida,28
1988,14,Córdoba,26,La Rioja,13
1988,14,Córdoba,27,Lugo,7
1988,14,Córdoba,28,Madrid,633
1988,14,Córdoba,29,Málaga,850
1988,14,Córdoba,30,Murcia,47
1988,14,Córdoba,31,Navarra,35
1988,14,Córdoba,32,Ourense,8
1988,14,Córdoba,33,Asturias,30
1988,14,Córdoba,35,Las Palmas,230
