pais,fecha,pais_esp,lat,long,var_casos
United Arab Emirates,2020-03-03,Emiratos Árabes Unidos,23.5490,54.1630,6
Spain,2020-03-03,España,40.2270,-3.6490,45
US,2020-03-03,Estados Unidos,39.6220,-98.6060,20
Estonia,2020-03-03,Estonia,58.6740,25.7930,1
France,2020-03-03,Francia,46.5650,2.5500,13
Iraq,2020-03-03,Irak,33.0480,43.7720,6
Iran,2020-03-03,Irán,32.5650,54.3010,835
Ireland,2020-03-03,Irlanda,53.1770,-8.1520,1
Iceland,2020-03-03,Islandia,64.7640,-18.4800,5
Israel,2020-03-03,Israel,31.0260,34.8510,2
Italy,2020-03-03,Italia,42.7000,12.8000,466
Japan,2020-03-03,Japón,36.4910,139.0680,19
Malaysia,2020-03-03,Malasia,4.2010,102.1950,7
Norway,2020-03-03,Noruega,61.1520,8.7400,7
Oman,2020-03-03,Omán,21.6560,57.4070,6
Netherlands,2020-03-03,Países Bajos,52.0770,5.3890,6
Pakistan,2020-03-03,Pakistán,29.9670,69.3860,1
Qatar,2020-03-03,Qatar,25.3160,51.1910,4
United Kingdom,2020-03-03,Reino Unido,53.0000,-1.6000,11
Czechia,2020-03-03,República Checa,49.7430,15.3380,2
San Marino,2020-03-03,San Marino,43.9420,12.4600,2
Senegal,2020-03-03,Senegal,15.0130,-14.8810,1
Singapore,2020-03-03,Singapur,1.3510,103.8080,2
Sweden,2020-03-03,Suecia,62.0110,15.2700,6
Switzerland,2020-03-03,Suiza,46.8610,7.9080,14
Taiwan*,2020-03-03,Taiwán,23.7540,120.9460,1
Germany,2020-03-04,Alemania,51.1100,9.8510,66
Algeria,2020-03-04,Argelia,28.1630,2.6320,7
Australia,2020-03-04,Australia,-24.9730,136.1890,13
Austria,2020-03-04,Austria,47.6830,14.9120,8
Bahrain,2020-03-04,Bahrein,26.0190,50.5620,3
Belgium,2020-03-04,Bélgica,50.6430,4.6640,10
Belarus,2020-03-04,Bielorrusia,53.5400,28.0470,5
Brazil,2020-03-04,Brasil,-10.7720,-53.0890,2
Canada,2020-03-04,Canadá,59.0810,-109.4330,3
China,2020-03-04,China,33.4200,106.5140,125
"Korea, South",2020-03-04,Corea del Sur,36.5040,128.1030,435
Croatia,2020-03-04,Croacia,45.7230,16.6930,1
Denmark,2020-03-04,Dinamarca,56.0580,9.2640,5
Ecuador,2020-03-04,Ecuador,-1.3850,-78.4970,3
Spain,2020-03-04,España,40.2270,-3.6490,57
US,2020-03-04,Estados Unidos,39.6220,-98.6060,31
France,2020-03-04,Francia,46.5650,2.5500,84
Greece,2020-03-04,Grecia,39.6660,21.7660,2
India,2020-03-04,India,21.0000,78.5000,23
Iraq,2020-03-04,Irak,33.0480,43.7720,3
Iran,2020-03-04,Irán,32.5650,54.3010,586
Ireland,2020-03-04,Irlanda,53.1770,-8.1520,4
Iceland,2020-03-04,Islandia,64.7640,-18.4800,15
Israel,2020-03-04,Israel,31.0260,34.8510,3
Italy,2020-03-04,Italia,42.7000,12.8000,587
Japan,2020-03-04,Japón,36.4910,139.0680,38
Malaysia,2020-03-04,Malasia,4.2010,102.1950,14
Norway,2020-03-04,Noruega,61.1520,8.7400,24
New Zealand,2020-03-04,Nueva Zelanda,-42.6340,172.2350,2
Oman,2020-03-04,Omán,21.6560,57.4070,3
Netherlands,2020-03-04,Países Bajos,52.0770,5.3890,14
Portugal,2020-03-04,Portugal,40.3090,-8.0580,3
Qatar,2020-03-04,Qatar,25.3160,51.1910,1
United Kingdom,2020-03-04,Reino Unido,53.0000,-1.6000,35
Czechia,2020-03-04,República Checa,49.7430,15.3380,3
Romania,2020-03-04,Rumanía,45.8440,24.9690,1
San Marino,2020-03-04,San Marino,43.9420,12.4600,6
Senegal,2020-03-04,Senegal,15.0130,-14.8810,2
Sweden,2020-03-04,Suecia,62.0110,15.2700,14
Switzerland,2020-03-04,Suiza,46.8610,7.9080,34
Germany,2020-03-05,Alemania,51.1100,9.8510,220
Saudi Arabia,2020-03-05,Arabia Saudí,24.0230,44.5850,4
Australia,2020-03-05,Australia,-24.9730,136.1890,3
Austria,2020-03-05,Austria,47.6830,14.9120,12
Azerbaijan,2020-03-05,Azerbaiyán,40.4300,47.3950,3
