Institución;Tipo institución;Coste €;Empresa adjudicataria;Fuente
Universidad de Las Palmas de Gran Canaria;Universidades;271508,50;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-24955
Bibliotecas Universitarias de Cataluña;Universidades;374563,84;American Chemical Society (ACS);http://www.boe.es/buscar/doc.php?id=BOE-B-2016-2376
CSIC;Ministerios;4024460,00;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-22546
Bibliotecas Universitarias de Cataluña;Universidades;189626,36;ProQuest Information & Learning España, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-1927
Bibliotecas Universitarias de Galicia;Universidades;1700316,12;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-19038
CIEMAT;Ministerios;296470,34;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-17265
Universidad de les Illes Balears;Universidades;1221952,54;EBSCO Subscription Services España, S.L.U. y Nova Area, SL;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-16391
Universidad de Murcia;Universidades;589463,60;"EBSCO Subscription Services España, S.L.U.; LM Tietopalvelut Oy; Teldan Information Systems, Ltd.";http://www.boe.es/buscar/doc.php?id=BOE-B-2016-16382
Bibliotecas Universitarias de Cataluña;Universidades;144146,27;American Institute of Physics;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-15928
Universidad de Salamanca;Universidades;1085212,08;EBSCO Subscription Services España, S.L.U. y LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-14076
Bibliotecas Universitarias de Cataluña;Universidades;158205,38;Royal Society of Chemistry;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-12906
Osakidetza-Servicio Vasco de Salud;CCAA;734590,00;Ovid Technologies, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-11417
Bibliotecas Universitarias de Cataluña;Universidades;154019,15;SAGE Publications Ltd.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-76
Bibliotecas Universitarias de Cataluña;Universidades;141238,21;Royal Society of Chemistry;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-75
CSIC;Ministerios;3372746,58;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-735
Bibliotecas Universitarias de Galicia;Universidades;2459920,78;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-6934
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Universidades;2139244,14;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2015-572
